"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"49","pUtC32","eTUAa0","GCST012879","GCST90277254","Inverse variance weighted (multiplicative random effects)",14,-0.0145072559787953,0.0503888514538271,0.773418643640982,-0.113269404828297,0.0842548928707059,0.985597467232114,0.892910073424847,1.08790615799466
"50","pUtC32","eTUAa0","GCST012879","GCST90277254","Inverse variance weighted",14,-0.0145072559787953,0.0503888514538271,0.773418643640982,-0.113269404828297,0.0842548928707059,0.985597467232114,0.892910073424847,1.08790615799466
"51","pUtC32","eTUAa0","GCST012879","GCST90277254","Inverse variance weighted (fixed effects)",14,-0.0145072559787953,0.0423303452078719,0.731812668716542,-0.0974747325862241,0.0684602206286336,0.985597467232114,0.907125261975572,1.07085802604461
"52","e6wxaN","jvBUeO","GCST012879","GCST90277255","Inverse variance weighted (multiplicative random effects)",14,-0.034521845393626,0.0545531903631606,0.526857234846614,-0.141446098505421,0.0724024077181688,0.966067235336951,0.868101966317267,1.07508788069084
"53","e6wxaN","jvBUeO","GCST012879","GCST90277255","Inverse variance weighted",14,-0.034521845393626,0.0545531903631606,0.526857234846614,-0.141446098505421,0.0724024077181688,0.966067235336951,0.868101966317267,1.07508788069084
"54","e6wxaN","jvBUeO","GCST012879","GCST90277255","Inverse variance weighted (fixed effects)",14,-0.034521845393626,0.0488070207515167,0.479371923340511,-0.130183606066599,0.0611399152793467,0.966067235336951,0.877934222072306,1.06304764038998
"55","o5dHP6","jvBUeO","GCST012879","GCST90277256","Inverse variance weighted (multiplicative random effects)",23,0.00589946204978278,0.0414251659713644,0.886754177990933,-0.0752938632540914,0.087092787353657,1.00591689814702,0.927470896662703,1.09099790583048
"56","o5dHP6","jvBUeO","GCST012879","GCST90277256","Inverse variance weighted",23,0.00589946204978278,0.0414251659713644,0.886754177990933,-0.0752938632540914,0.087092787353657,1.00591689814702,0.927470896662703,1.09099790583048
"57","o5dHP6","jvBUeO","GCST012879","GCST90277256","Inverse variance weighted (fixed effects)",23,0.00589946204978278,0.0354747727313679,0.867920703124005,-0.0636310925036982,0.0754300166032638,1.00591689814702,0.93835110044231,1.07834775863828
"58","umulca","fvqlRI","GCST012879","GCST90277257","Inverse variance weighted (multiplicative random effects)",18,-0.0453652507083256,0.0525208484541584,0.387721391770179,-0.148306113678476,0.0575756122618248,0.955648366836834,0.862167153384201,1.05926536107661
"59","umulca","fvqlRI","GCST012879","GCST90277257","Inverse variance weighted",18,-0.0453652507083256,0.0525208484541584,0.387721391770179,-0.148306113678476,0.0575756122618248,0.955648366836834,0.862167153384201,1.05926536107661
"60","umulca","fvqlRI","GCST012879","GCST90277257","Inverse variance weighted (fixed effects)",18,-0.0453652507083256,0.0523224181119157,0.385924058981145,-0.14791719020768,0.0571866887910291,0.955648366836834,0.86250253564069,1.05885346801852
"61","P8LXeu","eTUAa0","GCST012879","GCST90277258","Inverse variance weighted (multiplicative random effects)",8,-0.0519458877074374,0.0710312004319469,0.46458930347099,-0.191167040554053,0.0872752651391785,0.949380238594179,0.825994602030907,1.09119700687755
"62","P8LXeu","eTUAa0","GCST012879","GCST90277258","Inverse variance weighted",8,-0.0519458877074374,0.0710312004319469,0.46458930347099,-0.191167040554053,0.0872752651391785,0.949380238594179,0.825994602030907,1.09119700687755
"63","P8LXeu","eTUAa0","GCST012879","GCST90277258","Inverse variance weighted (fixed effects)",8,-0.0519458877074374,0.0661429015770987,0.432243425491694,-0.181585974798551,0.0776941993836762,0.949380238594179,0.833946543835156,1.08079210123965
"64","cAIiey","gmTfhF","GCST012879","GCST90277259","Inverse variance weighted (multiplicative random effects)",17,-0.000729865056200134,0.0455380535075173,0.987212384295818,-0.0899844499309341,0.0885247198185338,0.999270401230512,0.913945397074778,1.09256126019276
"65","cAIiey","gmTfhF","GCST012879","GCST90277259","Inverse variance weighted",17,-0.000729865056200134,0.0455380535075173,0.987212384295818,-0.0899844499309341,0.0885247198185338,0.999270401230512,0.913945397074778,1.09256126019276
"66","cAIiey","gmTfhF","GCST012879","GCST90277259","Inverse variance weighted (fixed effects)",17,-0.000729865056200134,0.0429609009906966,0.986445348352999,-0.0849332309979654,0.0834735008855652,0.999270401230512,0.918573614597499,1.08705640887903
"67","ttad1g","92ekkz","GCST012879","GCST90277260","Inverse variance weighted (multiplicative random effects)",13,-0.0672162302493217,0.0595217309312864,0.258783065486424,-0.183878822874643,0.0494463623759996,0.934993005706421,0.832036621524137,1.0506892342293
"68","ttad1g","92ekkz","GCST012879","GCST90277260","Inverse variance weighted",13,-0.0672162302493217,0.0595217309312864,0.258783065486424,-0.183878822874643,0.0494463623759996,0.934993005706421,0.832036621524137,1.0506892342293
"69","ttad1g","92ekkz","GCST012879","GCST90277260","Inverse variance weighted (fixed effects)",13,-0.0672162302493217,0.0527143497074228,0.202272755502154,-0.17053635567587,0.036103895177227,0.934993005706421,0.843212433513432,1.03676355562895
"70","KV7BdP","IoEPey","GCST012879","GCST90277261","Inverse variance weighted (multiplicative random effects)",19,-0.00398010286423119,0.0448686422832579,0.929315828269336,-0.0919226417394167,0.0839624360109544,0.996027807247341,0.912175711142154,1.08758803889632
"71","KV7BdP","IoEPey","GCST012879","GCST90277261","Inverse variance weighted",19,-0.00398010286423119,0.0448686422832579,0.929315828269336,-0.0919226417394167,0.0839624360109544,0.996027807247341,0.912175711142154,1.08758803889632
"72","KV7BdP","IoEPey","GCST012879","GCST90277261","Inverse variance weighted (fixed effects)",19,-0.00398010286423119,0.0409591308222996,0.922589373060885,-0.0842599992759384,0.076299793547476,0.996027807247341,0.919192235708175,1.07928608866634
"73","i0rose","0IzSjw","GCST012879","GCST90277262","Inverse variance weighted (multiplicative random effects)",23,-0.0186391781280915,0.0400820064745806,0.641912784183348,-0.0971999108182694,0.0599215545620864,0.981533457095711,0.907374594003189,1.06175325357949
"74","i0rose","0IzSjw","GCST012879","GCST90277262","Inverse variance weighted",23,-0.0186391781280915,0.0400820064745806,0.641912784183348,-0.0971999108182694,0.0599215545620864,0.981533457095711,0.907374594003189,1.06175325357949
"75","i0rose","0IzSjw","GCST012879","GCST90277262","Inverse variance weighted (fixed effects)",23,-0.0186391781280915,0.0379687116994031,0.623490888824952,-0.0930578530589215,0.0557794968027385,0.981533457095711,0.911140786489721,1.05736450577512
"76","W4MeMk","fvqlRI","GCST012879","GCST90277263","Inverse variance weighted (multiplicative random effects)",14,0.0139186902393089,0.0483341397036536,0.773371159477131,-0.0808162235798522,0.10865360405847,1.01401600618763,0.922363184473839,1.11477612952567
"77","W4MeMk","fvqlRI","GCST012879","GCST90277263","Inverse variance weighted",14,0.0139186902393089,0.0557296356338754,0.80277772257374,-0.0953113956030869,0.123148776081705,1.01401600618763,0.909089803819979,1.1310526820168
"78","W4MeMk","fvqlRI","GCST012879","GCST90277263","Inverse variance weighted (fixed effects)",14,0.0139186902393089,0.0557296356338754,0.80277772257374,-0.0953113956030869,0.123148776081705,1.01401600618763,0.909089803819979,1.1310526820168
"79","x2Q8VF","jvBUeO","GCST012879","GCST90277264","Inverse variance weighted (multiplicative random effects)",14,0.0124984188917779,0.0557088337273083,0.822482989363696,-0.0966908952137463,0.121687732997302,1.01257685054578,0.907836579399597,1.12940137192898
"80","x2Q8VF","jvBUeO","GCST012879","GCST90277264","Inverse variance weighted",14,0.0124984188917779,0.0564157213897267,0.824670891085125,-0.0980763950320864,0.123073232815642,1.01257685054578,0.906579642927453,1.13096724183037
"81","x2Q8VF","jvBUeO","GCST012879","GCST90277264","Inverse variance weighted (fixed effects)",14,0.0124984188917779,0.0564157213897267,0.824670891085125,-0.0980763950320864,0.123073232815642,1.01257685054578,0.906579642927453,1.13096724183037
"82","vp9BTH","jvBUeO","GCST012879","GCST90277265","Inverse variance weighted (multiplicative random effects)",15,0.00105007699781954,0.052510800309676,0.984045484330964,-0.101871091609145,0.103971245604785,1.0010506285217,0.903145967258589,1.10956854948428
"83","vp9BTH","jvBUeO","GCST012879","GCST90277265","Inverse variance weighted",15,0.00105007699781954,0.0554828775914183,0.98490002241496,-0.10769636308136,0.109796517076999,1.0010506285217,0.897900190690647,1.11605095004256
"84","vp9BTH","jvBUeO","GCST012879","GCST90277265","Inverse variance weighted (fixed effects)",15,0.00105007699781954,0.0554828775914183,0.98490002241496,-0.10769636308136,0.109796517076999,1.0010506285217,0.897900190690647,1.11605095004256
"85","m958aS","0Lfo1A","GCST012879","GCST90277266","Inverse variance weighted (multiplicative random effects)",10,-0.151826513141435,0.071029172303387,0.0325554499757114,-0.291043690856074,-0.0126093354267969,0.859137316847022,0.747483019131642,0.987469829156223
"86","m958aS","0Lfo1A","GCST012879","GCST90277266","Inverse variance weighted",10,-0.151826513141435,0.071029172303387,0.0325554499757114,-0.291043690856074,-0.0126093354267969,0.859137316847022,0.747483019131642,0.987469829156223
"87","m958aS","0Lfo1A","GCST012879","GCST90277266","Inverse variance weighted (fixed effects)",10,-0.151826513141435,0.0702010069398178,0.0305611965312552,-0.289420486743478,-0.0142325395393925,0.859137316847022,0.748697321906402,0.98586826425349
"88","Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted (multiplicative random effects)",12,-0.148397627466273,0.0816767892479707,0.0692341722280352,-0.308484134392296,0.0116888794597494,0.862088256812398,0.734559606341269,1.01175746136598
"89","Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted",12,-0.148397627466273,0.0816767892479707,0.0692341722280352,-0.308484134392296,0.0116888794597494,0.862088256812398,0.734559606341269,1.01175746136598
"90","Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted (fixed effects)",12,-0.148397627466273,0.0647492679837984,0.0219125016476809,-0.275306192714518,-0.0214890622180283,0.862088256812398,0.759339583377506,0.978740182657327
"91","NYdqdr","8tm8lu","GCST012879","GCST90277268","Inverse variance weighted (multiplicative random effects)",12,0.0917800167193593,0.0440452188498187,0.0371812772295681,0.00545138777371469,0.178108645665004,1.09612366667653,1.00546627362527,1.19495514087843
"92","NYdqdr","8tm8lu","GCST012879","GCST90277268","Inverse variance weighted",12,0.0917800167193593,0.0440452188498187,0.0371812772295681,0.00545138777371469,0.178108645665004,1.09612366667653,1.00546627362527,1.19495514087843
"93","NYdqdr","8tm8lu","GCST012879","GCST90277268","Inverse variance weighted (fixed effects)",12,0.0917800167193593,0.029573289717951,0.00191261269624955,0.0338163688721753,0.149743664566543,1.09612366667653,1.03439464223219,1.16153646161162
"94","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted (multiplicative random effects)",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"95","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"96","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted (fixed effects)",19,0.0971788117356926,0.0245043097279029,7.31549355625039e-05,0.0491503646690029,0.145207258802382,1.1020574168032,1.05037827864854,1.15627919447612
"97","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted (multiplicative random effects)",12,0.151392707033653,0.0446111594943586,0.000689788090838444,0.0639548344247097,0.238830579642595,1.16345346473929,1.06604424917236,1.2697633945915
"98","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted",12,0.151392707033653,0.0446111594943586,0.000689788090838444,0.0639548344247097,0.238830579642595,1.16345346473929,1.06604424917236,1.2697633945915
"99","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted (fixed effects)",12,0.151392707033653,0.0387386833227582,9.30440965181608e-05,0.0754648877210465,0.227320526346258,1.16345346473929,1.07838536248562,1.25523213843873
"100","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted (multiplicative random effects)",25,0.122063937690746,0.0323042319052449,0.000157728847654182,0.0587476431564659,0.185380232225026,1.12982633795798,1.06050758062306,1.20367602954199
"101","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted",25,0.122063937690746,0.0323042319052449,0.000157728847654182,0.0587476431564659,0.185380232225026,1.12982633795798,1.06050758062306,1.20367602954199
"102","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted (fixed effects)",25,0.122063937690746,0.0269825860866763,6.07379021986156e-06,0.0691780689608604,0.174949806420631,1.12982633795798,1.07162701566859,1.19118642520142
