"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"40","FrGmOD","92ekkz","GCST012879","GCST90277245","Weighted mode",19,-0.0925160497655995,0.0925492400365714,0.330733802903644,-0.273912560237279,0.0888804607060804,0.911634579325734,0.760398561423857,1.09294999804603
"41","309VFt","0IzSjw","GCST012879","GCST90277246","MR Egger",14,-0.03746046992097,0.100736605543177,0.716476457435932,-0.234904216785597,0.159983276943657,0.963232493624842,0.790646576672558,1.17349124646749
"42","309VFt","0IzSjw","GCST012879","GCST90277246","Weighted median",14,0.00914934425134584,0.0637151983501785,0.885818301816673,-0.115732444515004,0.134031133017696,1.00919132744334,0.890713506703314,1.14342841746766
"43","309VFt","0IzSjw","GCST012879","GCST90277246","Inverse variance weighted",14,0.0167632133997202,0.0564845432129875,0.76663811624172,-0.0939464912977353,0.127472918097176,1.01690450445472,0.910331471593244,1.13595410402593
"44","309VFt","0IzSjw","GCST012879","GCST90277246","Simple mode",14,-0.175243978334902,0.161746344860847,0.298295249337344,-0.492266814262163,0.141778857592359,0.839252236425546,0.611239256722171,1.15232179314266
"45","309VFt","0IzSjw","GCST012879","GCST90277246","Weighted mode",14,0.00883361395180648,0.0726584497037525,0.905093022967315,-0.133576947467548,0.151244175371161,1.00887274545887,0.874960140420258,1.16328066789516
"46","WECm9u","jvBUeO","GCST012879","GCST90277247","MR Egger",14,0.419653497072008,0.152796357753022,0.0177171367806532,0.120172635876085,0.719134358267932,1.52143428283938,1.12769151478857,2.05265557702893
"47","WECm9u","jvBUeO","GCST012879","GCST90277247","Weighted median",14,0.15507419169201,0.0765138414818454,0.0426883025294487,0.00510706238759279,0.305041320996427,1.16774459483866,1.00512012565956,1.35668106126131
"48","WECm9u","jvBUeO","GCST012879","GCST90277247","Inverse variance weighted",14,0.156152036514781,0.0633434650266832,0.0136950510929781,0.0319988450624821,0.28030522796708,1.16900392086162,1.0325163128126,1.32353373020062
"49","WECm9u","jvBUeO","GCST012879","GCST90277247","Simple mode",14,0.171240045613525,0.125383911529272,0.195189398827449,-0.0745124209838483,0.416992512210898,1.18677559510816,0.928195944880542,1.51739115098762
"50","WECm9u","jvBUeO","GCST012879","GCST90277247","Weighted mode",14,0.160330912883164,0.119609059773598,0.203052894326046,-0.0741028442730881,0.394764670039417,1.17389926511632,0.928576190187083,1.48403491194729
"51","q5gP3G","jvBUeO","GCST012879","GCST90277248","MR Egger",18,0.0616361231913236,0.108055556413089,0.576322234395919,-0.150152767378332,0.273425013760979,1.06357526393461,0.860576498367025,1.31445878919546
"52","q5gP3G","jvBUeO","GCST012879","GCST90277248","Weighted median",18,-0.0613047992556692,0.0597475226411496,0.304861282338923,-0.178409943632323,0.055800345120984,0.940536521250826,0.836599394587699,1.05738655027663
"53","q5gP3G","jvBUeO","GCST012879","GCST90277248","Inverse variance weighted",18,0.0199067405401849,0.0421728297808618,0.636907072985017,-0.0627520058303043,0.102565486910674,1.02010620103726,0.939176355071701,1.10800985967669
"54","q5gP3G","jvBUeO","GCST012879","GCST90277248","Simple mode",18,-0.044914980810002,0.128029841677634,0.730035728055074,-0.295853470498165,0.206023508878161,0.956078763419844,0.743896422806759,1.22878209094422
"55","q5gP3G","jvBUeO","GCST012879","GCST90277248","Weighted mode",18,-0.0739763094247995,0.0635298851948924,0.260329961405345,-0.198494884406789,0.0505422655571896,0.928693694868494,0.819963965331771,1.05184131907495
"56","nbQHIF","eTUAa0","GCST012879","GCST90277249","MR Egger",20,0.14581293636038,0.0981792707422434,0.154801893035,-0.0466184342944175,0.338244307015176,1.15697973896561,0.954451514084186,1.40248309801399
"57","nbQHIF","eTUAa0","GCST012879","GCST90277249","Weighted median",20,0.0504956422379435,0.0609036650393753,0.407043981744037,-0.0688755412392322,0.169866825715119,1.05179227988453,0.933442847989103,1.18514700970488
"58","nbQHIF","eTUAa0","GCST012879","GCST90277249","Inverse variance weighted",20,0.0936890732247092,0.0457201552135574,0.0404439920012582,0.00407756900613655,0.183300577443282,1.09821822737429,1.00408589360149,1.20117540005577
"59","nbQHIF","eTUAa0","GCST012879","GCST90277249","Simple mode",20,-0.049585307740091,0.108554849676521,0.653010698758334,-0.262352813106072,0.163182197625891,0.951623973783065,0.769239578020758,1.17725116251654
"60","nbQHIF","eTUAa0","GCST012879","GCST90277249","Weighted mode",20,-0.00672806000673365,0.0778514753681494,0.932035424700428,-0.159316951728306,0.145860831714839,0.993294522714642,0.852726043139715,1.15703515424737
