"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"24","NYdqdr","GSatlJ","GCST012879","GCST90277268","Simple mode",12,-0.0884304186877168,0.123980552860778,0.490540177738266,-0.331432302294842,0.154571464919408,0.915366800943378,0.717894754399142,1.16715768590705
"25","NYdqdr","GSatlJ","GCST012879","GCST90277268","Weighted mode",12,0.136955621490602,0.0306327198014873,0.000945499123548218,0.0769154906796873,0.196995752301517,1.14677725512593,1.07995080662744,1.21773886810738
"26","KsN3wf","8tm8lu","GCST012879","GCST90277250","MR Egger",19,0.0875125037851679,0.0450111758979875,0.0686053312329991,-0.000709400974887642,0.175734408545224,1.09145591168787,0.999290850590493,1.19212139934481
"27","KsN3wf","8tm8lu","GCST012879","GCST90277250","Weighted median",19,0.0830058364676906,0.027208260598338,0.00228263976638904,0.0296776456949481,0.136334027240433,1.0865481501329,1.03012241603103,1.14606464647758
"28","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758
"29","KsN3wf","8tm8lu","GCST012879","GCST90277250","Simple mode",19,0.0274196748558877,0.0862850800362409,0.754308770054463,-0.141699082015144,0.19653843172692,1.02779905368431,0.867882378612235,1.21718209838934
"30","KsN3wf","8tm8lu","GCST012879","GCST90277250","Weighted mode",19,0.0790207909415654,0.0283584090538249,0.0121838631046763,0.0234383091960686,0.134603272687062,1.08222682235104,1.02371514498829,1.14408280540718
"31","RTvsF8","0IzSjw","GCST012879","GCST90277288","MR Egger",12,0.231445424768571,0.0757531254701638,0.0121422784244406,0.0829692988470503,0.379921550690092,1.26042053695802,1.08650845097405,1.46216987871684
"32","RTvsF8","0IzSjw","GCST012879","GCST90277288","Weighted median",12,0.201827452170864,0.0487693690822609,3.49727022545281e-05,0.106239488769633,0.297415415572096,1.22363685401198,1.11208817724653,1.34637448822047
"33","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted",12,0.151392707033653,0.0446111594943586,0.000689788090838444,0.0639548344247097,0.238830579642595,1.16345346473929,1.06604424917236,1.2697633945915
"34","RTvsF8","0IzSjw","GCST012879","GCST90277288","Simple mode",12,0.147044699287116,0.118689180815131,0.241165261374022,-0.085586095110542,0.379675493684773,1.15840574178346,0.9179741065697,1.46181014583443
"35","RTvsF8","0IzSjw","GCST012879","GCST90277288","Weighted mode",12,0.196947786533007,0.0460876825498537,0.00131332289356203,0.106615928735294,0.287279644330721,1.21768045972754,1.11250689048704,1.33279687045637
"36","VDGwEH","8tm8lu","GCST012879","GCST90277298","MR Egger",25,0.171876361850841,0.0485721648460881,0.00175486092359698,0.076674918752508,0.267077804949173,1.18753100000209,1.07969103202912,1.30614206669443
"37","VDGwEH","8tm8lu","GCST012879","GCST90277298","Weighted median",25,0.150910752511651,0.0334034965839718,6.24816142903959e-06,0.0854398992070659,0.216381605816235,1.16289286818269,1.08919609782774,1.24157608126506
"38","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted",25,0.122063937690746,0.0323042319052449,0.000157728847654182,0.0587476431564659,0.185380232225026,1.12982633795798,1.06050758062306,1.20367602954199
"39","VDGwEH","8tm8lu","GCST012879","GCST90277298","Simple mode",25,0.15786993924396,0.091281945286969,0.0965672567710938,-0.0210426735184989,0.33678255200642,1.17101388185211,0.979177178742441,1.40043450895321
"40","VDGwEH","8tm8lu","GCST012879","GCST90277298","Weighted mode",25,0.153916741314312,0.0323343562222119,7.64149178633138e-05,0.0905414031187768,0.217292079509847,1.16639377032329,1.09476683346456,1.2427070183918
"41","u5hqzI","qdac6V","GCST012879","GCST90277305","MR Egger",13,0.230341183656002,0.0596273019046225,0.00263953995881156,0.113471671922942,0.347210695389062,1.25902949694512,1.12016015645969,1.4151148521367
